low_24h,ath,id,price_change_24h,ath_change_percentage,image,price_change_percentage_24h,ath_date,current_price,market_cap_rank,market_cap_change_24h,atl,coin_id,market_cap_change_percentage_24h,atl_change_percentage,fully_diluted_valuation,circulating_supply,atl_date,symbol,total_volume,total_supply,last_updated,max_supply,name,market_cap,high_24h,timestamp
2402.73,4799.89,225,-34.739751316368256,-49.05196,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,-1.39997,2021-11-09T00:00:00.000Z,2446.72,25,-85872429.13427639,82.1,weth,-1.28093,2878.50151,6618060086.0,2706323.28675351,2018-12-15T00:00:00.000Z,weth,247039223.0,2706323.28675351,2025-06-27T06:26:07.030Z,,WETH,6618060086.0,2499.03,1751005567
83.94,410.26,226,-0.45788429565847366,-79.30126,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,-0.53612,2021-05-10T03:13:07.904Z,84.95,26,-35516830.6212244,1.15,litecoin,-0.54712,7291.66902,6456116958.0,76010151.98347135,2015-01-14T00:00:00.000Z,ltc,281200123.0,76010151.98347135,2025-06-27T06:26:00.716Z,84000000.0,Litecoin,6456116958.0,85.83,1751005560
2572.93,4311.81,227,-44.8315946444709,-39.43642,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,-1.68642,2024-12-06T20:32:25.758Z,2613.55,27,-109922517.46599865,1505.24,wrapped-eeth,-1.70221,73.48697,6347703358.0,2429090.210943433,2025-04-09T03:45:31.391Z,weeth,9991001.0,2429090.210943433,2025-06-27T06:26:06.034Z,,Wrapped eETH,6347703358.0,2673.3,1751005566
0.998016,1.05,228,-0.001069870559366803,-4.7942,https://coin-images.coingecko.com/coins/images/35021/large/USDT.png?1707233575,-0.10694,2024-08-05T14:21:42.527Z,0.999355,28,-3980122.1339349747,0.942186,binance-bridged-usdt-bnb-smart-chain,-0.06335,6.09624,6278476351.0,6284993699.480267,2024-12-05T22:30:39.827Z,bsc-usd,5065707474.0,6284993699.480267,2025-06-27T06:26:04.222Z,,Binance Bridged USDT (BNB Smart Chain),6278476351.0,1.003,1751005564
0.142013,0.569229,229,-0.005669768143318071,-74.83532,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,-3.80753,2021-09-15T10:40:28.318Z,0.14324,29,-238794212.87461758,0.00986111,hedera-hashgraph,-3.78487,1352.62192,7161864827.0,42379959711.97014,2020-01-02T17:30:24.852Z,hbar,165107905.0,50000000000.0,2025-06-27T06:26:00.532Z,50000000000.0,Hedera,6070390857.0,0.149984,1751005560
309.35,542.33,230,-4.187806685485782,-42.6343,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,-1.3287,2018-01-09T00:00:00.000Z,310.99,30,-71875679.82648468,0.216177,monero,-1.23693,143814.1516,5738950559.0,18446744.07370955,2015-01-14T00:00:00.000Z,xmr,80188032.0,18446744.07370955,2025-06-27T06:26:00.112Z,,Monero,5738950559.0,319.46,1751005560
4.41,8.45,231,0.176418,-44.83107,https://coin-images.coingecko.com/coins/images/11610/large/Bitget_logo.png?1736925727,3.93347,2024-12-27T11:41:24.992Z,4.66,31,203564917.0,0.0142795,bitget-token,3.87677,32547.87055,5454453841.0,1169993089.2,2020-06-25T04:17:05.895Z,bgb,108574353.0,1169993089.2,2025-06-27T06:26:03.673Z,2000000000.0,Bitget Token,5454453841.0,4.71,1751005563
0.998761,1.032,232,0.00021326,-3.11053,https://coin-images.coingecko.com/coins/images/33613/large/usde.png?1733810059,0.02133,2023-12-20T15:38:34.596Z,1.0,32,2814500.0,0.929486,ethena-usde,0.05313,7.58407,5300405649.0,5299761087.785655,2024-10-04T07:57:15.809Z,usde,99779099.0,5299761087.785655,2025-06-27T06:26:03.261Z,,Ethena USDe,5300405649.0,1.001,1751005563
3.28,54.98,233,-0.051252568671655396,-93.99313,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,-1.52704,2021-11-04T14:10:09.301Z,3.31,33,-82405510.33715439,2.7,polkadot,-1.61302,22.43505,5026367357.0,1522267060.0,2020-08-20T05:48:11.359Z,dot,153856546.0,1522267060.0,2025-06-27T06:26:00.671Z,,Polkadot,5026367357.0,3.39,1751005560
106679.0,112129.0,234,-300.03205651565804,-4.33025,https://coin-images.coingecko.com/coins/images/40143/large/cbbtc.webp?1726136727,-0.27851,2025-05-22T19:26:16.485Z,107426.0,34,45926264.0,57439.0,coinbase-wrapped-btc,0.94247,86.76173,4918911170.0,45788.7498932,2024-09-12T14:07:41.775Z,cbbtc,228014250.0,45788.7498932,2025-06-27T06:26:06.614Z,,Coinbase Wrapped BTC,4918911170.0,108104.0,1751005566
